job_id,name,team_id,service_name,region,vcpus,gpu_count,duration_hours,category,started_at,ended_at,workload_type,cost_usd,kgco2e,kgco2e_lower,kgco2e_upper
az-MfrBMqEdlS86VrtnpG7n47uKj0v4HFEGZyoqdvS5NfqwBWLCvPD8bauvC9C728sV,azure-vm-MfrBMqEdlS86VrtnpG7n47uKj0v4HFEGZyoqdvS5NfqwBWLCvPD8bauvC9C728sV,frontend,deploy-GulBc4sE,ap-south-1,4,0,101.212,sustainable,2025-01-03 18:47:15.656402,2025-01-08 00:00:00.000000,batch_analytics,19.0279,1.598745,1.43887,1.758619
az-SVpednkHwgaYEfILlt4o7grRiQbHy42lLYdF/aVqqs6TUdR6qOA9oKUDQ533ebZc,azure-vm-SVpednkHwgaYEfILlt4o7grRiQbHy42lLYdF/aVqqs6TUdR6qOA9oKUDQ533ebZc,platform,deploy-q1rg5UEn,us-east-1,2,0,0.078,balanced,2025-01-07 04:43:33.938412,2025-01-07 04:48:14.003242,ci_cd,0.0075,0.00036,0.000324,0.000396
az-lEq9/ANv/LbGwJlKRM6/qiQbxEbiXHnCSXUHg0snTCWwsqCkbaLJ4E2w1l+NDvKR,azure-vm-lEq9/ANv/LbGwJlKRM6/qiQbxEbiXHnCSXUHg0snTCWwsqCkbaLJ4E2w1l+NDvKR,frontend,deploy-fdybMWtT,eu-west-1,4,0,0.033,balanced,2025-01-01 22:42:58.930308,2025-01-01 22:44:58.930308,ci_cd,0.0071,0.000223,0.000178,0.000268
az-Bs+4Cgsmcs/mK2Z/4tZes5DeUUfx1UvDWp8FINSKTdff/a5yF2pmTehyThYb8ZjS,azure-vm-Bs+4Cgsmcs/mK2Z/4tZes5DeUUfx1UvDWp8FINSKTdff/a5yF2pmTehyThYb8ZjS,platform,deploy-SOvIrRZ2,us-west-2,2,0,34.191,balanced,2025-01-01 00:00:00.000000,2025-01-02 10:11:28.492707,batch_analytics,3.2823,0.018053,0.016248,0.019858
az-1dOXX5gxHjL1vY110i1RHLNfCckj8S/JdU68FmwgpQv3lOe5c1pHcuJ3JiARA944,azure-vm-1dOXX5gxHjL1vY110i1RHLNfCckj8S/JdU68FmwgpQv3lOe5c1pHcuJ3JiARA944,mobile,deploy-hXypNNFL,ap-south-1,2,0,0.058,balanced,2025-01-05 10:24:18.670989,2025-01-05 10:27:48.719611,ci_cd,0.0055,0.00045,0.000405,0.000495
az-GrarONjQElhqqNqX2nP2pdHtDOvocC4mBxPIxBbbXrFVPR2f5jmWCzvQQMbRU/Xb,azure-vm-GrarONjQElhqqNqX2nP2pdHtDOvocC4mBxPIxBbbXrFVPR2f5jmWCzvQQMbRU/Xb,data-eng,deploy-RxyZ2wm8,us-west-2,2,0,0.35,balanced,2025-01-02 22:31:18.768233,2025-01-02 22:52:19.059967,ci_cd,0.0336,0.000137,0.000123,0.000151
az-D6MwtwNon9+lDYg3kmhB8ZACkLTjIV080vTH25UcEqIZ/8gp7fsj/5KeRdmHHN8m,azure-vm-D6MwtwNon9+lDYg3kmhB8ZACkLTjIV080vTH25UcEqIZ/8gp7fsj/5KeRdmHHN8m,platform,deploy-hrP166UP,ap-south-1,2,0,0.272,balanced,2025-01-05 07:17:36.077796,2025-01-05 07:33:56.304700,ci_cd,0.0256,0.0021,0.00189,0.00231
az-OBG0WCSlvihmpTjkamCbwWmoOmnwwVX8zZz9xZ2Rk/j9fVMMupx8zaOf0qAm5n99,azure-vm-OBG0WCSlvihmpTjkamCbwWmoOmnwwVX8zZz9xZ2Rk/j9fVMMupx8zaOf0qAm5n99,backend-api,deploy-ZA1xwY4K,us-east-1,2,0,0.033,balanced,2025-01-04 19:47:56.499190,2025-01-04 19:49:56.499190,ci_cd,0.0032,0.000152,0.000137,0.000168
az-sco7N1onLcoNSLd7KfQMK9A6TMbECUAb3VgAo8Z4wiR53/5I3LZBP/E8mG0dw80K,azure-vm-sco7N1onLcoNSLd7KfQMK9A6TMbECUAb3VgAo8Z4wiR53/5I3LZBP/E8mG0dw80K,ml-team,deploy-m61bZADA,us-west-2,4,0,168.0,urgent,2025-01-01 00:00:00.000000,2025-01-08 00:00:00.000000,production,32.256,0.177408,0.159667,0.195149
az-Qln2HqZtHd8q1rTS/7e1QAjhLyfe0q+L/kcagURym+u4EyG4O0esycIcDniDgnMI,azure-vm-Qln2HqZtHd8q1rTS/7e1QAjhLyfe0q+L/kcagURym+u4EyG4O0esycIcDniDgnMI,frontend,deploy-aC6Du7Zj,ap-south-1,2,0,0.033,balanced,2025-01-03 02:43:22.269044,2025-01-03 02:45:22.269044,ci_cd,0.0031,0.000238,0.000214,0.000262
az-rtLACFRm0sqkYLSD03jFoVvGWS9LZvExH72EjzMD3z753G/wgFlemfeF0H/UFTcf,azure-vm-rtLACFRm0sqkYLSD03jFoVvGWS9LZvExH72EjzMD3z753G/wgFlemfeF0H/UFTcf,mobile,deploy-BqEo0lV/,eu-north-1,24,0,0.078,balanced,2025-01-07 08:45:07.293355,2025-01-07 08:49:47.358185,ci_cd,0.0955,0.000216,0.000173,0.000259
az-c1ARGU3/djZ7TUAZ2WYpdVVQ8Wohj8ICatc12bZRsgRFEIoCv12Sw9k/G0BgMQ5U,azure-vm-c1ARGU3/djZ7TUAZ2WYpdVVQ8Wohj8ICatc12bZRsgRFEIoCv12Sw9k/G0BgMQ5U,mobile,deploy-BqEo0lV/,eu-north-1,4,0,0.117,balanced,2025-01-01 07:38:36.369530,2025-01-01 07:45:36.466775,ci_cd,0.0239,5.2e-05,4.2e-05,6.2e-05
az-ewf/zAY1L5oF/InDkM34+Rqulg7/jp0Afe6jGlP/fu5TpS7QM3JHfx7cXjk6cpfP,azure-vm-ewf/zAY1L5oF/InDkM34+Rqulg7/jp0Afe6jGlP/fu5TpS7QM3JHfx7cXjk6cpfP,backend-api,deploy-gMN0aFBv,ap-south-1,2,0,168.0,sustainable,2025-01-01 00:00:00.000000,2025-01-08 00:00:00.000000,batch_analytics,15.792,1.224854,1.102332,1.347377
az-GsSNPeGLG9fpKUhNpGZReY7F4QDrd0+8BiIyxa6G5P6gWAOgsgd0esUDSB19C0Pw,azure-vm-GsSNPeGLG9fpKUhNpGZReY7F4QDrd0+8BiIyxa6G5P6gWAOgsgd0esUDSB19C0Pw,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.389,balanced,2025-01-02 00:59:30.826580,2025-01-02 01:22:51.150729,ci_cd,0.0373,0.001797,0.001617,0.001976
az-faWnNrAyHVgkH7k2l865H2CNNlNfc7zidNSCah0Gmf4QmDFaXzZMOXMJlPvtcOVf,azure-vm-faWnNrAyHVgkH7k2l865H2CNNlNfc7zidNSCah0Gmf4QmDFaXzZMOXMJlPvtcOVf,analytics,deploy-ubEv6OCa,us-east-1,4,0,0.039,balanced,2025-01-01 02:08:21.782820,2025-01-01 02:10:41.815235,ci_cd,0.0075,0.000358,0.000322,0.000394
az-xHnP4sE1TZ5ZCJP0TqsZS4rfbNg9hA3FniHQFUa0jZqWbmWvtTEUZU+xG4b0tU1c,azure-vm-xHnP4sE1TZ5ZCJP0TqsZS4rfbNg9hA3FniHQFUa0jZqWbmWvtTEUZU+xG4b0tU1c,ml-team,deploy-OJhES400,ap-south-1,4,0,0.033,balanced,2025-01-06 19:42:06.418152,2025-01-06 19:44:06.418152,ci_cd,0.0062,0.00056,0.000504,0.000616
az-2Myliu1S/wPdmin8sJOqT1u2JFEdxno8NzX9tiG4SJ5zhcEXCCukH1T53EsUONqK,azure-vm-2Myliu1S/wPdmin8sJOqT1u2JFEdxno8NzX9tiG4SJ5zhcEXCCukH1T53EsUONqK,analytics,deploy-ubEv6OCa,us-east-1,2,0,0.156,balanced,2025-01-04 02:28:12.058347,2025-01-04 02:37:32.188007,ci_cd,0.015,0.000721,0.000648,0.000793
az-tcVENjfZII4TXWHUzcuxDfEuDpg2JMCNLi0nT0F5WUz8M+NAtq8tE3eqVfPNtfbS,azure-vm-tcVENjfZII4TXWHUzcuxDfEuDpg2JMCNLi0nT0F5WUz8M+NAtq8tE3eqVfPNtfbS,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.097,balanced,2025-01-04 04:54:04.084279,2025-01-04 04:59:54.165316,ci_cd,0.0093,0.00044,0.000396,0.000484
az-XJtj9SU+G9Ly+tOeDaYfNOPYKS5jK4snXVSraUpAGRMKErN7Mi9FyBZ8BR6Lb5Rd,azure-vm-XJtj9SU+G9Ly+tOeDaYfNOPYKS5jK4snXVSraUpAGRMKErN7Mi9FyBZ8BR6Lb5Rd,backend-api,deploy-GOsOVjGm,us-east-1,2,0,4.22,balanced,2025-01-05 22:34:48.816856,2025-01-06 02:48:02.333874,batch_analytics,0.4051,0.019288,0.017356,0.021214
az-/Jw2xMaz7RJwa/XbJIXABn1KiQmh9Anf6vUUWNs68KMwos20j7BDo/vc1gcGB3u9,azure-vm-/Jw2xMaz7RJwa/XbJIXABn1KiQmh9Anf6vUUWNs68KMwos20j7BDo/vc1gcGB3u9,devops,deploy-mMgVVjwZ,eu-north-1,2,0,6.088,balanced,2025-01-07 17:54:44.927066,2025-01-08 00:00:00.000000,batch_analytics,0.621,0.00227,0.001815,0.002726
az-65Lvg3enQdG5vph5O0A5sV1t044kBBE/uOhYChZNg18KH+fwzhC8avyymxLPj9c+,azure-vm-65Lvg3enQdG5vph5O0A5sV1t044kBBE/uOhYChZNg18KH+fwzhC8avyymxLPj9c+,frontend,deploy-fdybMWtT,eu-west-1,4,0,0.039,balanced,2025-01-01 02:28:12.058347,2025-01-01 02:30:32.090762,ci_cd,0.0083,0.000264,0.000211,0.000317
az-v3X0OJNDUta/If+KQUylelyJ0scZywN5G6q33rJFs0IgV9RguBp7HXPUBmSyXAoC,azure-vm-v3X0OJNDUta/If+KQUylelyJ0scZywN5G6q33rJFs0IgV9RguBp7HXPUBmSyXAoC,analytics,deploy-ZFCk80sI,us-east-1,4,0,0.033,balanced,2025-01-07 01:50:51.539708,2025-01-07 01:52:51.539708,ci_cd,0.0063,0.000301,0.000271,0.000331
az-mLf+GgKIHBKXqB5SQJ3Z9/7FleU79kKeefDcPPpZGwbrkK8BQyJP26qs/nj99Q9P,azure-vm-mLf+GgKIHBKXqB5SQJ3Z9/7FleU79kKeefDcPPpZGwbrkK8BQyJP26qs/nj99Q9P,analytics,deploy-MvA9UsHu,eu-west-1,2,0,1.653,balanced,2025-01-07 12:33:50.470016,2025-01-07 14:13:01.847650,dev_test,0.1769,0.005239,0.004191,0.006286
az-ZkgQVCBYjRUedvnT4LiBJHibqUvKQ4AdOLnNunN1pZAb3Z91nX5AAD//KKwSd7xP,azure-vm-ZkgQVCBYjRUedvnT4LiBJHibqUvKQ4AdOLnNunN1pZAb3Z91nX5AAD//KKwSd7xP,devops,deploy-4ipJnNcN,us-east-1,8,0,5.407,balanced,2025-01-05 23:49:29.854133,2025-01-06 05:13:54.359806,batch_analytics,2.0763,0.098256,0.08843,0.108082
az-H7TF48mP1tFGtZTNkVh2NU63G69thz9TX1ONSRyDX3Zj/xxDtevaAZ5Ww62k614b,azure-vm-H7TF48mP1tFGtZTNkVh2NU63G69thz9TX1ONSRyDX3Zj/xxDtevaAZ5Ww62k614b,platform,deploy-r1nQtCnC,eu-west-1,4,0,0.033,balanced,2025-01-04 03:02:02.528363,2025-01-04 03:04:02.528363,ci_cd,0.0071,8.3e-05,6.6e-05,9.9e-05
az-YoiAjVL21Xrcyux9YqWFdcPFNVoNO6XeauNWpkByIknfpi4xB46L6WJ3mgChhQbO,azure-vm-YoiAjVL21Xrcyux9YqWFdcPFNVoNO6XeauNWpkByIknfpi4xB46L6WJ3mgChhQbO,eu-frontend,deploy-o0+uEqNx,ap-south-1,2,0,0.992,balanced,2025-01-02 20:11:16.823339,2025-01-02 21:10:47.649919,dev_test,0.0932,0.007663,0.006897,0.008431
az-wqS5NATEfc4+A+4mjby6q4rwiYYt1sOPF5j+5O7dw1HhHd7xq4+SehrxiDd8G7OL,azure-vm-wqS5NATEfc4+A+4mjby6q4rwiYYt1sOPF5j+5O7dw1HhHd7xq4+SehrxiDd8G7OL,analytics,deploy-ubEv6OCa,us-east-1,2,0,0.7,balanced,2025-01-04 00:07:00.097245,2025-01-04 00:49:00.680713,dev_test,0.0672,0.003239,0.002915,0.003563
az-VaN2MPOO6RSbzY+iJwKTgC5b3UCkfrQaG/gGKYcR3kXhfxeZwook8kI/642UokOi,azure-vm-VaN2MPOO6RSbzY+iJwKTgC5b3UCkfrQaG/gGKYcR3kXhfxeZwook8kI/642UokOi,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.097,balanced,2025-01-03 16:07:23.435981,2025-01-03 16:13:13.517018,ci_cd,0.0093,0.000443,0.000399,0.000487
az-TfuKW35JOr9n6egrZz5iSTMZWvI4fMIYOt8OUBD4xDQVkYyWplVuqOvhiy/TYOOe,azure-vm-TfuKW35JOr9n6egrZz5iSTMZWvI4fMIYOt8OUBD4xDQVkYyWplVuqOvhiy/TYOOe,analytics,deploy-2jFAiHi0,eu-west-1,2,0,31.449,balanced,2025-01-01 00:00:00.000000,2025-01-02 07:26:56.207455,batch_analytics,3.365,0.092297,0.073823,0.110735
az-lmKFCjkOUklUs8O6emvS75p2sgWsQx/0h61dzxvJFIoKTMmePvl9HDEkkYLihCKD,azure-vm-lmKFCjkOUklUs8O6emvS75p2sgWsQx/0h61dzxvJFIoKTMmePvl9HDEkkYLihCKD,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.039,balanced,2025-01-04 00:15:10.210697,2025-01-04 00:17:30.243112,ci_cd,0.0037,0.00018,0.000162,0.000198
az-nR/GmXkp+T2QMz13Y8bN89s5OagYpzKNVEHBLjVZQXxFv7Cncd5Aza2F4ueHNkqq,azure-vm-nR/GmXkp+T2QMz13Y8bN89s5OagYpzKNVEHBLjVZQXxFv7Cncd5Aza2F4ueHNkqq,eu-frontend,deploy-/x2JUKGg,us-west-2,2,0,168.0,sustainable,2025-01-01 00:00:00.000000,2025-01-08 00:00:00.000000,batch_analytics,16.128,0.088704,0.079834,0.097574
az-nRfYPunU8CCCTLAgnP9Ui9be7tta8VKoEsZxgf5zri2TINlz0p+WqvyxFS/V6zTG,azure-vm-nRfYPunU8CCCTLAgnP9Ui9be7tta8VKoEsZxgf5zri2TINlz0p+WqvyxFS/V6zTG,platform,deploy-q1rg5UEn,us-east-1,2,0,0.058,balanced,2025-01-07 09:38:48.038898,2025-01-07 09:42:18.087520,ci_cd,0.0056,0.00027,0.000243,0.000297
az-e6xL14BUWcT5KvL4Rc6zFgnYC7qGS4mFeOQd3zp94Pl6t7ECHcJqsv1xIZ8C7RJq,azure-vm-e6xL14BUWcT5KvL4Rc6zFgnYC7qGS4mFeOQd3zp94Pl6t7ECHcJqsv1xIZ8C7RJq,frontend,deploy-vLlC4aSY,eu-west-1,4,0,0.033,balanced,2025-01-05 18:47:15.656402,2025-01-05 18:49:15.656402,ci_cd,0.0071,0.000287,0.000229,0.000344
az-/60V5tRoaJ5YPK7ydvx0tzGihyV96C5h0hNliYuHtgCOGk0v8bzPdbrwgaCWFDzp,azure-vm-/60V5tRoaJ5YPK7ydvx0tzGihyV96C5h0hNliYuHtgCOGk0v8bzPdbrwgaCWFDzp,platform,deploy-HYqCpJMz,us-east-1,4,0,0.778,balanced,2025-01-05 17:43:04.764992,2025-01-05 18:29:45.413290,dev_test,0.1494,0.007165,0.006449,0.007882
az-1gy17As6u81vT5/9KIV6RK/4CfgAphiBuJpZiJScPKS8necYdnL+s5H/cFbUuSBO,azure-vm-1gy17As6u81vT5/9KIV6RK/4CfgAphiBuJpZiJScPKS8necYdnL+s5H/cFbUuSBO,data-eng,deploy-hGwNYmAJ,us-east-1,8,0,0.253,balanced,2025-01-01 11:58:49.983793,2025-01-01 12:14:00.194490,ci_cd,0.0972,0.004633,0.00417,0.005097
az-ARDrplrUCWp6wrmwoVmPYfbvpbdlglW67rigbJTF4xto4SgWTuZzW+sHoX7qLtTx,azure-vm-ARDrplrUCWp6wrmwoVmPYfbvpbdlglW67rigbJTF4xto4SgWTuZzW+sHoX7qLtTx,eu-frontend,deploy-TVB1X7lk,eu-west-1,2,0,0.078,balanced,2025-01-02 03:56:53.290113,2025-01-02 04:01:33.354943,ci_cd,0.0083,0.000152,0.000121,0.000182
az-6BW2ME08Imy3VGp9iqWzLKv18CJ//aJlcyYe468Fq13Ss7LhmCkOV+GAKia3VxgQ,azure-vm-6BW2ME08Imy3VGp9iqWzLKv18CJ//aJlcyYe468Fq13Ss7LhmCkOV+GAKia3VxgQ,eu-backend,deploy-uYvK2XjS,eu-north-1,24,0,0.078,balanced,2025-01-01 21:46:58.152350,2025-01-01 21:51:38.217180,ci_cd,0.0955,0.000341,0.000273,0.00041
az-BsOalXhEyLE0LbWrC5O/x+cd2SqnubJ2S9Zo1JQQgUzUcaqqMqu03wQ3N/p7Wkou,azure-vm-BsOalXhEyLE0LbWrC5O/x+cd2SqnubJ2S9Zo1JQQgUzUcaqqMqu03wQ3N/p7Wkou,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.058,balanced,2025-01-02 23:27:19.546191,2025-01-02 23:30:49.594813,ci_cd,0.0056,0.000268,0.000242,0.000295
az-dNOcjF7ZrliLfNIn8Qoc/cVYyvz5XOJVJky6+fgN1c4KSpjDqff2L13KHDAn/jDr,azure-vm-dNOcjF7ZrliLfNIn8Qoc/cVYyvz5XOJVJky6+fgN1c4KSpjDqff2L13KHDAn/jDr,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.039,balanced,2025-01-03 22:55:49.108590,2025-01-03 22:58:09.141005,ci_cd,0.0037,0.000178,0.00016,0.000195
az-bIdJABDfQX3P3Y4nK7hRmiulzubOhpI6rwqBsX6R4Lgn18yCOrbsLaGd+A3P+Ndf,azure-vm-bIdJABDfQX3P3Y4nK7hRmiulzubOhpI6rwqBsX6R4Lgn18yCOrbsLaGd+A3P+Ndf,mobile,deploy-pThm4uqP,us-east-1,2,0,0.078,balanced,2025-01-06 21:29:27.909238,2025-01-06 21:34:07.974068,ci_cd,0.0075,0.00036,0.000324,0.000396
az-4qVASfnPrhFkWToamyS0EUmF/jzTqumUy54cC11QyPVMDtOn7Y/VWwvyAHs9E4a4,azure-vm-4qVASfnPrhFkWToamyS0EUmF/jzTqumUy54cC11QyPVMDtOn7Y/VWwvyAHs9E4a4,ml-team,deploy-az6X8Sn+,us-east-1,2,0,0.233,balanced,2025-01-07 18:19:15.267423,2025-01-07 18:33:15.461912,ci_cd,0.0224,0.001074,0.000966,0.001181
az-IiNbzJJbnR0hBRK6Hz22aQGi+mGk/LowdH633HkvOyAh4aBT608X6j6DriBKzguY,azure-vm-IiNbzJJbnR0hBRK6Hz22aQGi+mGk/LowdH633HkvOyAh4aBT608X6j6DriBKzguY,eu-frontend,deploy-TVB1X7lk,eu-west-1,2,0,0.156,balanced,2025-01-04 11:07:29.270665,2025-01-04 11:16:49.400325,ci_cd,0.0167,0.000589,0.000471,0.000707
az-gqTBJrlOubd1CUdXSK78/PUKalOdMrkBHGJFBT5f4DWBpIOUordT0yklp2yNKroi,azure-vm-gqTBJrlOubd1CUdXSK78/PUKalOdMrkBHGJFBT5f4DWBpIOUordT0yklp2yNKroi,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.525,balanced,2025-01-07 05:54:44.927066,2025-01-07 06:26:15.364667,dev_test,0.0504,0.002425,0.002182,0.002667
az-2+T938upZaE3RhY1mRETfR/r9Jsdwj6xF094MQlowRG4fE/jWFanbeiug3+vOu5O,azure-vm-2+T938upZaE3RhY1mRETfR/r9Jsdwj6xF094MQlowRG4fE/jWFanbeiug3+vOu5O,eu-backend,deploy-rovxYBrv,us-west-2,2,0,0.583,balanced,2025-01-03 06:44:55.623987,2025-01-03 07:19:56.110211,dev_test,0.056,0.000256,0.00023,0.000282
az-+uUyOwbtVV4zrAhYGhaOVeYT5sz605DC0WI7Nx8I2FBku0t0ZLVHc7Rob+eSx2HE,azure-vm-+uUyOwbtVV4zrAhYGhaOVeYT5sz605DC0WI7Nx8I2FBku0t0ZLVHc7Rob+eSx2HE,frontend,deploy-fdybMWtT,eu-west-1,4,0,0.033,balanced,2025-01-04 00:44:20.615883,2025-01-04 00:46:20.615883,ci_cd,0.0071,0.000146,0.000117,0.000176
az-6XAG6RwYHDW4ky61ifrEXyzjiYBQTJY9JxjRzsSWCLBaTz9GbaOTu9ZBsYObq1T+,azure-vm-6XAG6RwYHDW4ky61ifrEXyzjiYBQTJY9JxjRzsSWCLBaTz9GbaOTu9ZBsYObq1T+,eu-backend,deploy-WRIccg/h,us-east-1,2,0,0.37,balanced,2025-01-04 01:00:40.842788,2025-01-04 01:22:51.150730,ci_cd,0.0355,0.001707,0.001537,0.001878
az-7/Nt+ZUtzhSl+EVKV+wNaKV58Ll+XBW/N7/QJ9jg3SMOMC6kzmLGbOqAhzHBEKnh,azure-vm-7/Nt+ZUtzhSl+EVKV+wNaKV58Ll+XBW/N7/QJ9jg3SMOMC6kzmLGbOqAhzHBEKnh,eu-backend,deploy-wYE6uOxi,us-west-2,2,0,0.35,balanced,2025-01-01 06:00:35.008104,2025-01-01 06:21:35.299838,ci_cd,0.0336,0.000168,0.000151,0.000184
az-tvsqVstWPAmNCNE0rfTuBbgvAE050g2W4lirl+y/oKwzXIMKWF9KOpznTv84aPYM,azure-vm-tvsqVstWPAmNCNE0rfTuBbgvAE050g2W4lirl+y/oKwzXIMKWF9KOpznTv84aPYM,mobile,deploy-0Kj50+yz,us-east-1,2,0,0.033,balanced,2025-01-02 04:27:13.711507,2025-01-02 04:29:13.711507,ci_cd,0.0032,0.000154,0.000138,0.000169
az-xm9muoZR+/cC5CDKNTxdE0nXWeitimk8kYP7S1sC+gMkHmnXXN7UbP6u20K9dcak,azure-vm-xm9muoZR+/cC5CDKNTxdE0nXWeitimk8kYP7S1sC+gMkHmnXXN7UbP6u20K9dcak,platform,deploy-zRkZ3zlb,eu-west-1,2,0,0.033,balanced,2025-01-01 03:49:53.192869,2025-01-01 03:51:53.192869,ci_cd,0.0035,9.4e-05,7.6e-05,0.000113
