entry_id,team_id,recommendation_id,verification_id,points,kgco2e_saved,reason,awarded_at
8084727b,devops,6a9d6afe,6c082ac0,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.598995
895cef3c,eu-frontend,4917a741,052dc1f3,1,0.014228,Verified savings: 14.2 gCO₂e (confirmed),2026-04-30 11:52:41.599007
620c3b87,ml-team,8e61a708,d945d778,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599019
672c67dd,mobile,b9a9b10e,68fb3d9d,41,0.414124,Verified savings: 414.1 gCO₂e (confirmed),2026-04-30 11:52:41.599036
b0c4b0b5,eu-frontend,ea82dfff,ca26eceb,139,1.395979,Verified savings: 1396.0 gCO₂e (confirmed),2026-04-30 11:52:41.599049
8c802355,ml-team,0cf21690,ae8d2f34,1,0.010957,Verified savings: 11.0 gCO₂e (confirmed),2026-04-30 11:52:41.599066
77190bf0,eu-backend,789267d1,9453287c,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599079
974583bf,devops,1811e1a9,208c9e40,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.599095
7acd0ce7,analytics,1770f1f8,2b6e39e7,23,0.239843,Verified savings: 239.8 gCO₂e (confirmed),2026-04-30 11:52:41.599110
04c3ae77,analytics,45055de2,7433d4f9,2,0.028457,Verified savings: 28.5 gCO₂e (confirmed),2026-04-30 11:52:41.599136
5d68f087,mobile,519a3769,26580ea5,30,0.309653,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.599152
0fc7e169,mobile,018e9745,83b211ca,8,0.083678,Verified savings: 83.7 gCO₂e (confirmed),2026-04-30 11:52:41.599165
71e2acdc,mobile,16470185,d071ecd9,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599181
36ca302c,frontend,18090598,0d9a7296,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599196
175dbe66,ml-team,541ed86e,e2c0d91c,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599215
fd9f9754,ml-team,e831b1e2,6da00bd0,1,0.010699,Verified savings: 10.7 gCO₂e (confirmed),2026-04-30 11:52:41.599233
d56a3230,mobile,887ae6dc,53fc305c,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.599259
6d64a582,data-eng,3c667b24,58200f22,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599275
e08ce40e,frontend,931cd949,801e70ec,2,0.029748,Verified savings: 29.7 gCO₂e (confirmed),2026-04-30 11:52:41.599292
5d2fddbf,data-eng,3ba21f2c,6390d850,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.599304
a9ae7cf0,eu-frontend,9292c72d,a626325e,139,1.395979,Verified savings: 1396.0 gCO₂e (confirmed),2026-04-30 11:52:41.599327
02b9a8b1,mobile,bc238759,ad2cbe9d,7,0.075226,Verified savings: 75.2 gCO₂e (confirmed),2026-04-30 11:52:41.599348
4b71365a,platform,98a8316f,752e49b4,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599363
525df36d,platform,dce3f329,a8f17987,30,0.309725,Verified savings: 309.7 gCO₂e (confirmed),2026-04-30 11:52:41.599388
81fb25d2,mobile,57939e97,9c5f79f5,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599404
43674f70,eu-frontend,c3662904,80e7a1b6,69,0.69799,Verified savings: 698.0 gCO₂e (confirmed),2026-04-30 11:52:41.599428
5efaeb29,mobile,76c69f5e,08a3d529,1,0.016713,Verified savings: 16.7 gCO₂e (confirmed),2026-04-30 11:52:41.599445
728efe41,analytics,bd82c67e,b57aa4c3,279,2.791958,Verified savings: 2792.0 gCO₂e (confirmed),2026-04-30 11:52:41.599486
8ab24d8c,mobile,6d1b7cc8,2dda104a,4,0.046155,Verified savings: 46.2 gCO₂e (confirmed),2026-04-30 11:52:41.599509
e29ce43b,eu-backend,a7a7ee18,24396a4c,40,0.40755,Verified savings: 407.6 gCO₂e (confirmed),2026-04-30 11:52:41.599527
