verification_id,recommendation_id,counterfactual_kgco2e,actual_kgco2e,verified_savings_kgco2e,ci_lower,ci_upper,sla_compliant,verification_status,evidence_chain_steps,verified_at
80cd4e60,c3c127c4,0.00035,0.000271,7.9e-05,-4.5e-05,0.000203,True,partial,7,2026-04-30 11:56:52.915865
310edbc0,863161ef,0.000138,8.1e-05,5.8e-05,3.6e-05,8e-05,True,confirmed,7,2026-04-30 11:56:52.919327
002112d1,12808c46,0.121348,0.045119,0.076229,0.042936,0.109523,True,confirmed,7,2026-04-30 11:56:52.922137
1770e956,3de39f8e,0.000668,0.000583,8.6e-05,-0.000165,0.000336,True,partial,7,2026-04-30 11:56:52.924305
00f8eaf0,f323690f,0.008695,0.000637,0.008058,0.007124,0.008992,True,confirmed,7,2026-04-30 11:56:52.928631
863040a2,c69f5942,0.051234,0.002966,0.048268,0.042848,0.053689,True,confirmed,7,2026-04-30 11:56:52.930740
4efcb4a6,5afae2aa,3.7e-05,2e-05,1.7e-05,1.1e-05,2.3e-05,True,confirmed,7,2026-04-30 11:56:52.938154
26c0b58e,8beb41d4,0.000267,8.3e-05,0.000185,0.000115,0.000255,True,confirmed,7,2026-04-30 11:56:52.940706
7d7bf462,89ccf505,6.9e-05,4e-05,2.9e-05,1.8e-05,4e-05,True,confirmed,7,2026-04-30 11:56:52.944594
ffb133e1,0911e616,0.008107,0.005677,0.00243,-0.000329,0.005189,True,partial,7,2026-04-30 11:56:52.946895
f5c97d08,56c647b9,0.002549,0.002073,0.000476,-0.000449,0.0014,True,partial,7,2026-04-30 11:56:52.959278
af0e23e3,f8ae15ee,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:52.961471
3f66c572,9e7453d0,0.000189,0.000128,6.1e-05,-3e-06,0.000125,True,partial,7,2026-04-30 11:56:52.963576
014f6f46,443ffa3b,0.000304,0.000149,0.000155,6.4e-05,0.000245,True,confirmed,7,2026-04-30 11:56:52.966503
a85ee189,d6003451,0.361533,0.17754,0.183992,0.076132,0.291777,True,confirmed,7,2026-04-30 11:56:52.970014
254b256e,83da6ff2,4.2e-05,2.2e-05,1.9e-05,1.3e-05,2.6e-05,True,confirmed,7,2026-04-30 11:56:52.972445
a0ae681a,1afb78a8,0.000501,0.000282,0.000219,6.2e-05,0.000376,True,confirmed,7,2026-04-30 11:56:52.993579
af8472c6,32ea51ec,0.013612,0.007751,0.00586,0.001588,0.010133,True,confirmed,7,2026-04-30 11:56:52.994980
b7d63c93,043d0860,0.001674,0.001285,0.000389,-0.000203,0.000981,True,partial,7,2026-04-30 11:56:52.996974
3c11ff13,33c52692,0.00829,0.001054,0.007236,0.005364,0.009104,True,confirmed,7,2026-04-30 11:56:53.001075
8542c865,c9ad6ea7,0.001041,0.000569,0.000472,0.000312,0.000634,True,confirmed,7,2026-04-30 11:56:53.228676
fa80494c,143fb468,0.000299,0.000169,0.000129,3.6e-05,0.000223,True,confirmed,7,2026-04-30 11:56:53.260349
2bf64355,0c26ea6e,0.000886,0.000747,0.000139,-9.9e-05,0.000377,True,partial,7,2026-04-30 11:56:53.264402
9de69ff8,fa42c3a3,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:53.266821
98f25324,1e4120ef,0.573232,0.393029,0.180202,-0.012981,0.373557,True,partial,7,2026-04-30 11:56:53.271427
d4197c1a,83cf0e06,0.024673,0.002686,0.021987,0.019256,0.024719,True,confirmed,7,2026-04-30 11:56:53.273540
746d9f8c,829515ae,0.008733,0.000853,0.00788,0.006922,0.00884,True,confirmed,7,2026-04-30 11:56:53.275450
ed74ae6d,c8e5ddbe,0.011321,0.001059,0.010263,0.009024,0.011499,True,confirmed,7,2026-04-30 11:56:53.291204
c36c69e6,02e430f1,0.000144,9.9e-05,4.5e-05,-3e-06,9.4e-05,True,partial,7,2026-04-30 11:56:53.298131
5b99fa61,f87ec0b6,0.000245,0.00022,2.5e-05,-6.8e-05,0.000118,True,partial,7,2026-04-30 11:56:53.319900
24122b8f,876079e9,0.015153,0.001488,0.013665,0.010337,0.016993,True,confirmed,7,2026-04-30 11:56:53.378393
9edf6d6c,e8a3a00b,0.001315,0.00087,0.000445,8e-06,0.000881,True,confirmed,7,2026-04-30 11:56:53.381014
4e585a13,9a59132b,0.986093,0.113467,0.872626,0.663802,1.08108,True,confirmed,7,2026-04-30 11:56:53.383110
4de6998b,c2683180,0.00222,0.001806,0.000413,-0.000392,0.001218,True,partial,7,2026-04-30 11:56:53.388541
c70ac29e,e6edbff6,0.000149,8.1e-05,6.7e-05,4.5e-05,9e-05,True,confirmed,7,2026-04-30 11:56:53.390943
62b57cab,ae5aa597,0.000296,0.00026,3.6e-05,-7.6e-05,0.000147,True,partial,7,2026-04-30 11:56:53.393030
1ec85d05,f8f5f717,0.009784,0.000956,0.008829,0.007755,0.009904,True,confirmed,7,2026-04-30 11:56:53.395724
9844b6fd,559fd879,0.000151,0.000122,2.9e-05,-2.5e-05,8.4e-05,True,partial,7,2026-04-30 11:56:53.398836
fb2e0afe,ce234e2d,0.000171,9.2e-05,7.9e-05,5.3e-05,0.000106,True,confirmed,7,2026-04-30 11:56:53.403266
c186bee3,e529665c,0.001638,0.000895,0.000743,0.000492,0.000997,True,confirmed,7,2026-04-30 11:56:53.405135
92ed3ad5,695d06c0,8.6e-05,4.6e-05,4e-05,2.6e-05,5.3e-05,True,confirmed,7,2026-04-30 11:56:53.408080
7d234e14,eccf719d,0.000301,0.000172,0.000129,3.4e-05,0.000224,True,confirmed,7,2026-04-30 11:56:53.410715
32c45d13,b721c980,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:53.412606
a85003d4,1b8c01b1,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.415942
0dc40fea,a316cc10,0.06032,0.033946,0.026374,0.007511,0.045221,True,confirmed,7,2026-04-30 11:56:53.420292
a553c7b5,22e5968a,0.000256,0.000145,0.000111,3.1e-05,0.000191,True,confirmed,7,2026-04-30 11:56:53.423763
b8f21211,223e1b32,0.006379,0.000599,0.00578,0.005083,0.006479,True,confirmed,7,2026-04-30 11:56:53.427178
73ed0ed9,5ed17723,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.432047
ec302c6c,df70fe8a,0.006982,0.00076,0.006222,0.005449,0.006995,True,confirmed,7,2026-04-30 11:56:53.434575
2f4bc9a2,8a99b29e,0.001502,0.00132,0.000182,-0.000382,0.000746,True,partial,7,2026-04-30 11:56:53.436638
df5aaab0,a5a0584c,0.006052,0.000461,0.005591,0.004941,0.006244,True,confirmed,7,2026-04-30 11:56:53.437925
2203ee42,a69eb81c,1.972186,0.226934,1.745251,1.327603,2.16216,True,confirmed,7,2026-04-30 11:56:53.439282
db4b40b5,d804b14a,0.000149,8.1e-05,6.7e-05,4.5e-05,9e-05,True,confirmed,7,2026-04-30 11:56:53.443059
76e4fa0b,1f974726,0.0001,7e-05,3e-05,-4e-06,6.4e-05,True,partial,7,2026-04-30 11:56:53.449169
4af63666,d7d8fc57,0.000223,0.000122,0.000101,6.7e-05,0.000136,True,confirmed,7,2026-04-30 11:56:53.452350
55a0a790,b23ef136,0.000145,0.000106,3.8e-05,-1.2e-05,8.9e-05,True,partial,7,2026-04-30 11:56:53.455122
674291be,cfaa6680,0.001829,0.001383,0.000445,-0.000197,0.001087,True,partial,7,2026-04-30 11:56:53.458266
3e05937b,c6c1291e,0.004931,0.000454,0.004478,0.003401,0.005554,True,confirmed,7,2026-04-30 11:56:53.462318
10687fcc,d93619cd,0.000107,8e-05,2.7e-05,-1.1e-05,6.4e-05,True,partial,7,2026-04-30 11:56:53.464177
1f7fedfa,09311a58,0.010861,0.001016,0.009846,0.008657,0.011032,True,confirmed,7,2026-04-30 11:56:53.467616
4ac508e8,5ae84ca0,0.000714,0.000576,0.000138,-0.00012,0.000395,True,partial,7,2026-04-30 11:56:53.470998
3521c3e6,30f90a91,0.00026,0.000153,0.000107,2.5e-05,0.00019,True,confirmed,7,2026-04-30 11:56:53.477229
50d458aa,2ac168a8,0.015939,0.001348,0.014592,0.012863,0.01632,True,confirmed,7,2026-04-30 11:56:53.486700
5549fd40,ea9684fb,0.011687,0.001093,0.010594,0.009315,0.011871,True,confirmed,7,2026-04-30 11:56:53.489594
7e7df2b1,8adc624c,0.007655,0.000583,0.007072,0.00625,0.007898,True,confirmed,7,2026-04-30 11:56:53.493006
90c78b51,4b0f0077,0.011677,0.001096,0.010581,0.009305,0.01186,True,confirmed,7,2026-04-30 11:56:53.499028
45725bb4,e3daaae2,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:53.600875
c385499b,82917523,0.002877,0.000439,0.002438,0.001776,0.003101,True,confirmed,7,2026-04-30 11:56:53.604761
b05085d4,e5e9202d,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.609361
0529e2ec,a233809d,0.000808,0.000624,0.000184,-0.000102,0.000471,True,partial,7,2026-04-30 11:56:53.613645
75e7d9e8,be63e209,0.012891,0.011473,0.001418,-0.001019,0.003854,True,partial,7,2026-04-30 11:56:53.615836
f747fb2d,7946bb6d,0.00017,6.3e-05,0.000107,6e-05,0.000154,True,confirmed,7,2026-04-30 11:56:53.618462
bd2fa94d,4e89150c,7.5e-05,4.1e-05,3.4e-05,2.2e-05,4.5e-05,True,confirmed,7,2026-04-30 11:56:53.620833
468b837c,a75e4fef,0.000346,0.00017,0.000176,7.3e-05,0.000279,True,confirmed,7,2026-04-30 11:56:53.623680
a52c81c5,54ac819c,0.176032,0.099052,0.07698,0.021963,0.131997,True,confirmed,7,2026-04-30 11:56:53.706465
0cf6b77d,f2b42d94,0.000148,7.6e-05,7.2e-05,2.7e-05,0.000117,True,confirmed,7,2026-04-30 11:56:53.708738
1278012e,a1afb718,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.713118
00c9ed15,b4f31b16,0.015541,0.001426,0.014115,0.012414,0.015809,True,confirmed,7,2026-04-30 11:56:53.715229
d1b65757,41b5a199,0.000351,0.000255,9.7e-05,-2.5e-05,0.000218,True,partial,7,2026-04-30 11:56:53.728667
c752803c,96a3ca52,0.001321,0.001148,0.000174,-0.00032,0.000668,True,partial,7,2026-04-30 11:56:53.730776
52f2097e,317d3fed,0.000665,0.000379,0.000286,7.8e-05,0.000495,True,confirmed,7,2026-04-30 11:56:53.732857
27e045a6,29f18428,0.003598,0.000335,0.003263,0.002476,0.004049,True,confirmed,7,2026-04-30 11:56:53.735849
e67849bb,956bb973,7.5e-05,4.1e-05,3.4e-05,2.2e-05,4.5e-05,True,confirmed,7,2026-04-30 11:56:53.737963
2fce8fa8,188f6030,0.000284,0.000134,0.000151,6.7e-05,0.000234,True,confirmed,7,2026-04-30 11:56:53.741906
b3936d3f,1d6e4d70,0.012405,0.001049,0.011356,0.010011,0.012702,True,confirmed,7,2026-04-30 11:56:53.745441
b8730099,d0bf7b46,0.007369,0.006558,0.000811,-0.000583,0.002203,True,partial,7,2026-04-30 11:56:53.747783
6d24ea94,55e5ffa8,7.3e-05,3.9e-05,3.4e-05,2.3e-05,4.5e-05,True,confirmed,7,2026-04-30 11:56:53.749789
84f6aab6,83cfca2d,0.000251,0.000141,0.00011,3.1e-05,0.000188,True,confirmed,7,2026-04-30 11:56:53.752650
bc4cc619,80171d76,2.417406,0.335356,2.08205,1.564268,2.598739,True,confirmed,7,2026-04-30 11:56:53.754138
ef370702,4f12549f,0.000251,0.000129,0.000122,4.6e-05,0.000198,True,confirmed,7,2026-04-30 11:56:53.756098
e89a8844,39941ba4,0.000164,0.000132,3.1e-05,-2.8e-05,9.1e-05,True,partial,7,2026-04-30 11:56:53.757555
da2167b0,604ff42d,0.00075,0.000404,0.000346,0.000115,0.000576,True,confirmed,7,2026-04-30 11:56:53.759567
9d50468f,e8cd8376,0.013067,0.001016,0.012051,0.010642,0.013457,True,confirmed,7,2026-04-30 11:56:53.761716
f4f5db75,a9f26008,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.763925
c6153d12,aac47635,0.001125,0.000606,0.000519,0.000172,0.000865,True,confirmed,7,2026-04-30 11:56:53.766008
f23293cf,9e5d2f12,0.002117,0.001136,0.000981,0.000655,0.00131,True,confirmed,7,2026-04-30 11:56:53.768635
d820541a,1cb2ea6f,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.771251
af8d396b,0f885784,6.9e-05,4e-05,2.9e-05,1.8e-05,4e-05,True,confirmed,7,2026-04-30 11:56:53.772584
7b2d08c7,b3fdfc0d,8.6e-05,4.6e-05,4e-05,2.6e-05,5.3e-05,True,confirmed,7,2026-04-30 11:56:53.774428
e3fe2f12,83ec5923,0.013217,0.001213,0.012005,0.010558,0.013445,True,confirmed,7,2026-04-30 11:56:53.777879
43d570b6,540864b1,0.005156,0.000401,0.004755,0.004199,0.005309,True,confirmed,7,2026-04-30 11:56:53.779715
9aea838d,e6966fc5,0.00017,0.000119,5.1e-05,-7e-06,0.000109,True,partial,7,2026-04-30 11:56:53.782437
3260b11d,4353cc77,0.006027,0.000564,0.005463,0.004804,0.006121,True,confirmed,7,2026-04-30 11:56:53.785435
7f820db0,b33ae581,0.011686,0.001272,0.010413,0.00912,0.011707,True,confirmed,7,2026-04-30 11:56:53.787489
8e35e46c,6209cfda,0.018166,0.001384,0.016783,0.014832,0.018742,True,confirmed,7,2026-04-30 11:56:53.789269
a9b9ed43,b3142b41,0.000299,0.000163,0.000135,9e-05,0.000182,True,confirmed,7,2026-04-30 11:56:53.790620
94ae97bf,0bc064b5,0.000346,0.00017,0.000176,7.3e-05,0.000279,True,confirmed,7,2026-04-30 11:56:53.792127
51dc582c,51438735,0.001054,0.000769,0.000285,-7.9e-05,0.00065,True,partial,7,2026-04-30 11:56:53.793973
5c7fc055,ffe98cd7,0.000524,0.000461,6.3e-05,-0.000134,0.00026,True,partial,7,2026-04-30 11:56:53.795847
a9b10046,fd1dd6b6,0.000922,0.00061,0.000312,5e-06,0.000618,True,confirmed,7,2026-04-30 11:56:53.797704
d1bc4664,9d43cf7c,1.509446,0.113467,1.395979,1.233725,1.558603,True,confirmed,7,2026-04-30 11:56:53.799609
a63dad3a,0eff152b,0.000112,9.8e-05,1.4e-05,-2.8e-05,5.6e-05,True,partial,7,2026-04-30 11:56:53.802127
7181dfa7,da4ebc35,0.000229,8.5e-05,0.000144,8.1e-05,0.000207,True,confirmed,7,2026-04-30 11:56:53.805145
377c1b45,eca30d8f,0.00017,0.000119,5.1e-05,-7e-06,0.000109,True,partial,7,2026-04-30 11:56:53.807192
3c599698,2ffaa7a7,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.809141
1746520d,3b0276f3,0.008047,0.000603,0.007444,0.00658,0.00831,True,confirmed,7,2026-04-30 11:56:53.815780
3bf54efc,d0fc2ac9,0.000199,0.000109,9e-05,6e-05,0.000121,True,confirmed,7,2026-04-30 11:56:53.817212
c9b15d6a,c641e86e,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.819586
b6b0e123,325de593,0.01588,0.001652,0.014228,0.010718,0.017733,True,confirmed,7,2026-04-30 11:56:53.836621
e9d56909,115f7359,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.838056
38c6454a,108c4a78,0.010535,0.000966,0.009569,0.008416,0.010717,True,confirmed,7,2026-04-30 11:56:53.840271
a181b7be,774c2367,0.000501,0.000282,0.000219,6.2e-05,0.000376,True,confirmed,7,2026-04-30 11:56:53.843505
dadbc39e,2431bd36,0.004698,0.003556,0.001142,0.000322,0.001971,True,confirmed,7,2026-04-30 11:56:53.845658
b191e882,12da65c4,0.447784,0.033661,0.414124,0.36599,0.462367,True,confirmed,7,2026-04-30 11:56:53.850518
73361c8e,38dee6aa,1.509446,0.113467,1.395979,1.233725,1.558603,True,confirmed,7,2026-04-30 11:56:53.854552
343f538f,77a2902a,0.004266,0.003596,0.00067,-0.000476,0.001815,True,partial,7,2026-04-30 11:56:53.856575
d8729d9d,ae9fb90c,3.7e-05,2e-05,1.7e-05,1.1e-05,2.3e-05,True,confirmed,7,2026-04-30 11:56:53.858582
8efc17f7,202757a3,0.012143,0.001186,0.010957,0.009625,0.012292,True,confirmed,7,2026-04-30 11:56:53.860520
5d7f29f8,0d27ca4a,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.862617
bcad4595,59dd4371,0.000805,0.000674,0.000131,-8.4e-05,0.000346,True,partial,7,2026-04-30 11:56:53.864462
7e0e9d82,b0b84874,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:53.866641
f390a96a,d08c1021,0.261992,0.022149,0.239843,0.211429,0.268257,True,confirmed,7,2026-04-30 11:56:53.870177
1c959bd1,0e5de05d,0.002245,0.001871,0.000374,-0.000225,0.000973,True,partial,7,2026-04-30 11:56:53.872010
354dfdf4,0a1bf086,0.000245,0.000188,5.8e-05,-2.9e-05,0.000144,True,partial,7,2026-04-30 11:56:53.875043
ed28f35b,243fa02f,0.005764,0.002143,0.003621,0.002039,0.005202,True,confirmed,7,2026-04-30 11:56:53.876692
5c64c5f5,0485404a,0.000135,7.2e-05,6.2e-05,4.2e-05,8.3e-05,True,confirmed,7,2026-04-30 11:56:53.878611
944147d1,cf87c234,0.001267,0.0011,0.000166,-7e-05,0.000403,True,partial,7,2026-04-30 11:56:53.880479
fc6d7893,144d97e0,0.000198,0.000137,6.1e-05,-6e-06,0.000128,True,partial,7,2026-04-30 11:56:53.882346
f9449e50,7d0617a2,0.030761,0.002303,0.028457,0.025153,0.031769,True,confirmed,7,2026-04-30 11:56:53.884429
e896ef4b,9de38f3b,4.2e-05,2.3e-05,1.9e-05,1.3e-05,2.6e-05,True,confirmed,7,2026-04-30 11:56:53.886512
ec6738eb,9d98e91a,0.492932,0.183279,0.309653,0.174411,0.444895,True,confirmed,7,2026-04-30 11:56:53.888199
0f888cdd,664b97a2,0.184538,0.100859,0.083678,0.055361,0.112313,True,confirmed,7,2026-04-30 11:56:53.890000
fd43d662,6857ac37,0.00031,0.000169,0.000141,9.3e-05,0.000189,True,confirmed,7,2026-04-30 11:56:53.893275
a3492b6b,465622c7,0.002349,0.001778,0.000571,0.000161,0.000985,True,confirmed,7,2026-04-30 11:56:53.895259
9fb690ae,f2429c0f,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.897211
e3795641,f419d217,0.00047,0.000145,0.000325,0.000201,0.000448,True,confirmed,7,2026-04-30 11:56:53.899480
b4e8da34,51e0918b,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.908534
62bcd269,e5d98301,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.910523
a9ee9392,fd95ac1c,0.000377,0.00024,0.000136,1.3e-05,0.00026,True,confirmed,7,2026-04-30 11:56:53.912483
9db09e19,a4e6f45c,0.000124,9.4e-05,3.1e-05,-1.3e-05,7.4e-05,True,partial,7,2026-04-30 11:56:53.914323
2608273e,c827aab3,0.011662,0.000963,0.010699,0.009434,0.011961,True,confirmed,7,2026-04-30 11:56:53.918548
16f18a00,2940948b,0.0003,0.000227,7.3e-05,2.1e-05,0.000126,True,confirmed,7,2026-04-30 11:56:53.920889
68b0c75f,80540ac0,0.000268,0.000223,4.5e-05,-2.7e-05,0.000116,True,partial,7,2026-04-30 11:56:53.922598
21355b30,16c75fd4,0.001793,0.001494,0.000299,-0.000179,0.000777,True,partial,7,2026-04-30 11:56:53.925602
1fbc3c5f,a98aac52,0.000688,0.000401,0.000287,0.000178,0.000397,True,confirmed,7,2026-04-30 11:56:53.933458
9b97753c,0211d5bd,0.001598,0.00121,0.000389,0.000109,0.000671,True,confirmed,7,2026-04-30 11:56:53.936127
536ac052,da950df7,0.00909,0.000989,0.0081,0.007094,0.009106,True,confirmed,7,2026-04-30 11:56:53.940899
8554f1a4,da85caf8,0.001256,0.00097,0.000286,-0.000159,0.000732,True,partial,7,2026-04-30 11:56:53.942995
fe713430,5b1ec876,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:53.945178
2a120884,2174f34f,3.9e-05,2.3e-05,1.6e-05,1e-05,2.3e-05,True,confirmed,7,2026-04-30 11:56:53.957976
9c919562,9635224d,0.000292,0.000166,0.000126,3.4e-05,0.000217,True,confirmed,7,2026-04-30 11:56:53.960061
177f951c,737caab8,0.754723,0.056734,0.69799,0.616862,0.779302,True,confirmed,7,2026-04-30 11:56:53.962053
04b950e1,be54f8d7,0.000265,0.000214,5.1e-05,-4.5e-05,0.000147,True,partial,7,2026-04-30 11:56:53.964002
309017bb,cbcb2782,2.1e-05,1.2e-05,1e-05,6e-06,1.3e-05,True,confirmed,7,2026-04-30 11:56:53.965898
0deafad6,f8585288,0.082226,0.052477,0.029748,0.002785,0.056683,True,confirmed,7,2026-04-30 11:56:53.968061
3c8f8942,f55546a2,0.493046,0.183322,0.309725,0.174451,0.444998,True,confirmed,7,2026-04-30 11:56:53.970282
845f7ed6,f57c520f,0.006274,0.000518,0.005756,0.005075,0.006435,True,confirmed,7,2026-04-30 11:56:53.972616
