entry_id,team_id,recommendation_id,verification_id,points,kgco2e_saved,reason,awarded_at
30226519,frontend,4b0f0077,90c78b51,1,0.010581,single_model:confirmed,2026-04-30 11:56:54.195487
a8457acb,mobile,e3daaae2,45725bb4,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.195494
d602c19b,frontend,e5e9202d,b05085d4,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195501
f68f47cc,analytics,54ac819c,a52c81c5,7,0.07698,single_model:confirmed,2026-04-30 11:56:54.195512
c3f2cb78,ml-team,a1afb718,1278012e,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195520
f18d52ef,backend-api,b4f31b16,00c9ed15,1,0.014115,single_model:confirmed,2026-04-30 11:56:54.195527
c19a5462,data-eng,1d6e4d70,b3936d3f,1,0.011356,single_model:confirmed,2026-04-30 11:56:54.195538
bcf91b37,platform,80171d76,bc4cc619,208,2.08205,single_model:confirmed,2026-04-30 11:56:54.195546
30408f98,eu-backend,e8cd8376,9d50468f,1,0.012051,single_model:confirmed,2026-04-30 11:56:54.195556
01d41057,ml-team,a9f26008,f4f5db75,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195564
df2dae44,analytics,1cb2ea6f,d820541a,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195573
bf0acac8,mobile,83ec5923,e3fe2f12,1,0.012005,single_model:confirmed,2026-04-30 11:56:54.195581
df9e9c7c,devops,b33ae581,7f820db0,1,0.010413,single_model:confirmed,2026-04-30 11:56:54.195590
267a2531,platform,6209cfda,8e35e46c,1,0.016783,single_model:confirmed,2026-04-30 11:56:54.195597
8c2bceb8,ml-team,9d43cf7c,d1bc4664,139,1.395979,single_model:confirmed,2026-04-30 11:56:54.195607
7e2a4069,backend-api,2ffaa7a7,3c599698,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195615
281d7b4a,devops,c641e86e,c9b15d6a,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195624
3a3ba229,eu-frontend,325de593,b6b0e123,1,0.014228,single_model:confirmed,2026-04-30 11:56:54.195630
a44e8b96,ml-team,115f7359,e9d56909,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195637
f1c8920b,mobile,12da65c4,b191e882,41,0.414124,single_model:confirmed,2026-04-30 11:56:54.195646
a4c54751,eu-frontend,38dee6aa,73361c8e,139,1.395979,single_model:confirmed,2026-04-30 11:56:54.195653
b2a67ca7,ml-team,202757a3,8efc17f7,1,0.010957,single_model:confirmed,2026-04-30 11:56:54.195661
671b07b3,eu-backend,0d27ca4a,5d7f29f8,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195668
a7386da8,devops,b0b84874,7e0e9d82,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.195676
b70f8560,analytics,d08c1021,f390a96a,23,0.239843,single_model:confirmed,2026-04-30 11:56:54.195683
65fd4350,analytics,7d0617a2,f9449e50,2,0.028457,single_model:confirmed,2026-04-30 11:56:54.195694
eabf1346,mobile,9d98e91a,ec6738eb,30,0.309653,single_model:confirmed,2026-04-30 11:56:54.195702
964ae2d4,mobile,664b97a2,0f888cdd,8,0.083678,single_model:confirmed,2026-04-30 11:56:54.195708
81b47e22,mobile,f2429c0f,9fb690ae,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195717
fcfd2c5d,frontend,51e0918b,b4e8da34,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195724
924a7b1d,ml-team,e5d98301,62bcd269,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195731
db77ea60,ml-team,c827aab3,2608273e,1,0.010699,single_model:confirmed,2026-04-30 11:56:54.195739
245c7df4,mobile,5b1ec876,fe713430,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.195752
5b955491,data-eng,737caab8,177f951c,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195760
67c69556,frontend,f8585288,0deafad6,2,0.029748,single_model:confirmed,2026-04-30 11:56:54.195769
f7ad32db,data-eng,f55546a2,3c8f8942,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.195775
b732a4f9,eu-frontend,c14a3d1b,c713911a,139,1.395979,single_model:confirmed,2026-04-30 11:56:54.195785
0bbc978b,mobile,38934c6b,5144d8d1,7,0.075226,single_model:confirmed,2026-04-30 11:56:54.195795
5a359a97,platform,848f83b4,bba7cbb8,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195802
fd8f0484,platform,eb69232b,79b3707e,30,0.309725,single_model:confirmed,2026-04-30 11:56:54.195813
f25f9e66,mobile,a9e19a44,12eec6ed,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195820
e92dd4b0,eu-frontend,e5a0cb57,c492745a,69,0.69799,single_model:confirmed,2026-04-30 11:56:54.195828
2484b502,mobile,133efba1,9feb0b97,1,0.016713,single_model:confirmed,2026-04-30 11:56:54.195835
7186ac14,analytics,35034ea4,159fddad,279,2.791958,single_model:confirmed,2026-04-30 11:56:54.195849
0b6c4074,mobile,bb3c3902,87ac2df6,4,0.046155,single_model:confirmed,2026-04-30 11:56:54.195858
b251c378,eu-backend,be86d71a,d08f4d0a,40,0.40755,single_model:confirmed,2026-04-30 11:56:54.195866
