decision_id,recommendation_id,original_risk_level,final_risk_level,decision,reason,llm_reasoning,decided_at,decided_by,policy_version
68a377ef,5454c1ae,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063342,single_model,v1.0
ea8e9e98,14c4c1c8,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063440,single_model,v1.0
d06528c0,a424363c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063524,single_model,v1.0
326ed606,d8cc643a,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063608,single_model,v1.0
cf955400,df32ee3f,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063694,single_model,v1.0
1504c2e1,f1890ffa,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063773,single_model,v1.0
03535ca7,180b7c7f,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063869,single_model,v1.0
981b39de,cbf73730,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.063969,single_model,v1.0
eac16f5a,4c34789f,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064071,single_model,v1.0
82151ead,758c9b46,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064157,single_model,v1.0
53f0d0a2,7086ef42,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064243,single_model,v1.0
de131aed,1d70f2ce,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064329,single_model,v1.0
a4bbec22,81519e30,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064413,single_model,v1.0
4b08a8c9,3d28e363,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064494,single_model,v1.0
b3c86adb,1d49583e,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064589,single_model,v1.0
a9bf8d99,a5714001,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064675,single_model,v1.0
6a477aec,333f37c8,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064758,single_model,v1.0
3c08dbe8,28ca53c0,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064843,single_model,v1.0
4a78ac08,57edb828,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.064925,single_model,v1.0
db33d640,de650aca,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065018,single_model,v1.0
949582f2,499545bb,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065098,single_model,v1.0
77c5415c,485b6d97,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065183,single_model,v1.0
2aad7d8a,1f3e9956,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065263,single_model,v1.0
56241f72,1edde273,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065346,single_model,v1.0
7085a181,44a6089b,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065429,single_model,v1.0
f3b10e34,d1ed3a0a,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065516,single_model,v1.0
055defdc,ba3ed6fc,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065603,single_model,v1.0
378b397f,4042d138,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065689,single_model,v1.0
d26498ab,baeee9a5,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065775,single_model,v1.0
4e9f8a1a,5d3da3e8,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065853,single_model,v1.0
dc286073,e9c26f30,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.065936,single_model,v1.0
0d71c59d,4903179a,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066019,single_model,v1.0
56c661c4,c3c127c4,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066102,single_model,v1.0
526b7c2f,863161ef,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066184,single_model,v1.0
b1397024,12808c46,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066266,single_model,v1.0
62c190b8,3de39f8e,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066348,single_model,v1.0
7a5efc03,f323690f,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066430,single_model,v1.0
837624d9,c69f5942,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066516,single_model,v1.0
651a141a,5afae2aa,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066599,single_model,v1.0
3167c938,8beb41d4,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066667,single_model,v1.0
d8e0825c,89ccf505,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066738,single_model,v1.0
e3242378,0911e616,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.066825,single_model,v1.0
2738f38c,56c647b9,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067002,single_model,v1.0
06c7605f,f8ae15ee,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067094,single_model,v1.0
c82d0645,9e7453d0,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067187,single_model,v1.0
f81ef523,443ffa3b,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067276,single_model,v1.0
312f7cc4,d6003451,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067370,single_model,v1.0
af2de7eb,83da6ff2,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067462,single_model,v1.0
91e977e4,1afb78a8,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067553,single_model,v1.0
df10163e,32ea51ec,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067664,single_model,v1.0
00193022,043d0860,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.067763,single_model,v1.0
9609632a,33c52692,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.068552,single_model,v1.0
4a90733e,c9ad6ea7,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.068683,single_model,v1.0
27d9704a,143fb468,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.068777,single_model,v1.0
0798dd44,0c26ea6e,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.068877,single_model,v1.0
21e51888,fa42c3a3,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.068971,single_model,v1.0
21312add,1e4120ef,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069065,single_model,v1.0
d2722416,83cf0e06,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069160,single_model,v1.0
d5d32707,829515ae,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069251,single_model,v1.0
a1ee1ef5,c8e5ddbe,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069365,single_model,v1.0
f2cf366f,02e430f1,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069447,single_model,v1.0
acb320cc,f87ec0b6,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069555,single_model,v1.0
45c505b1,876079e9,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069682,single_model,v1.0
94e761c5,e8a3a00b,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069776,single_model,v1.0
b08432a9,9a59132b,medium,medium,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069866,single_model,v1.0
dfef0c0f,c2683180,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.069967,single_model,v1.0
52b794b6,e6edbff6,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070060,single_model,v1.0
960eca3b,ae5aa597,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070142,single_model,v1.0
86ab827b,f8f5f717,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070224,single_model,v1.0
3dca1bde,559fd879,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070306,single_model,v1.0
ed0188e1,ce234e2d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070387,single_model,v1.0
fd6a5a15,e529665c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070468,single_model,v1.0
048b5ef1,695d06c0,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070551,single_model,v1.0
566cf8a5,eccf719d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070652,single_model,v1.0
8c26d4e4,b721c980,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.070734,single_model,v1.0
65baf9ab,1b8c01b1,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.072222,single_model,v1.0
4c99bd92,a316cc10,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.072398,single_model,v1.0
da38d4a9,22e5968a,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.072830,single_model,v1.0
1d02199a,223e1b32,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.073091,single_model,v1.0
5037d0d8,5ed17723,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.079477,single_model,v1.0
a80a2f3e,df70fe8a,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.079619,single_model,v1.0
391b1338,8a99b29e,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.079716,single_model,v1.0
7a8214f4,a5a0584c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.079810,single_model,v1.0
5b692a2c,a69eb81c,medium,medium,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.079926,single_model,v1.0
80c785ca,d804b14a,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080023,single_model,v1.0
bbd4554d,1f974726,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080117,single_model,v1.0
6c6acd17,d7d8fc57,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080213,single_model,v1.0
fbce9ca5,b23ef136,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080307,single_model,v1.0
f7beefd9,cfaa6680,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080399,single_model,v1.0
e7c80976,c6c1291e,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080490,single_model,v1.0
bbb28615,d93619cd,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080594,single_model,v1.0
643e5418,09311a58,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080689,single_model,v1.0
d0fb3f7e,5ae84ca0,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080800,single_model,v1.0
9ce93b4e,30f90a91,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.080957,single_model,v1.0
aed9be60,2ac168a8,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081055,single_model,v1.0
58e138b9,ea9684fb,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081140,single_model,v1.0
1ae72879,8adc624c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081237,single_model,v1.0
4b95b646,4b0f0077,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081335,single_model,v1.0
35ba6b36,e3daaae2,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081421,single_model,v1.0
283aad86,82917523,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081504,single_model,v1.0
b451d5e9,e5e9202d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081588,single_model,v1.0
fbf3d539,a233809d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081672,single_model,v1.0
530d9215,be63e209,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081754,single_model,v1.0
4b7b07c3,7946bb6d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081836,single_model,v1.0
151f254d,4e89150c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.081966,single_model,v1.0
c75a4999,a75e4fef,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082095,single_model,v1.0
a1af3132,54ac819c,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082184,single_model,v1.0
013c8e33,f2b42d94,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082308,single_model,v1.0
9c44227e,a1afb718,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082431,single_model,v1.0
4a85b8e5,b4f31b16,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082546,single_model,v1.0
1c085ec5,41b5a199,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082631,single_model,v1.0
55cf671e,96a3ca52,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082720,single_model,v1.0
0feadce8,317d3fed,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082805,single_model,v1.0
d92b991a,29f18428,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082893,single_model,v1.0
b7ec33b5,956bb973,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.082974,single_model,v1.0
1f623f9e,188f6030,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083055,single_model,v1.0
356ebdbb,1d6e4d70,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083137,single_model,v1.0
c816a588,d0bf7b46,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083216,single_model,v1.0
4f949394,55e5ffa8,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083303,single_model,v1.0
a7d3e46d,83cfca2d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083390,single_model,v1.0
b7d6659b,80171d76,high,high,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083477,single_model,v1.0
96f0a6b5,4f12549f,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.083566,single_model,v1.0
6b6abadc,39941ba4,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.084621,single_model,v1.0
45cf7e48,604ff42d,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.140268,single_model,v1.0
ae0a5ed3,e8cd8376,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.140518,single_model,v1.0
ef996210,a9f26008,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.140621,single_model,v1.0
634f6e46,aac47635,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.140721,single_model,v1.0
15288a47,9e5d2f12,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.140817,single_model,v1.0
00b6ed0c,1cb2ea6f,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.140912,single_model,v1.0
f11ab4e8,0f885784,low,low,approved,Auto-classified by deterministic fallback (LLM output unparseable).,Auto-classified by deterministic fallback (LLM output unparseable).,2026-04-30 11:56:51.141024,single_model,v1.0
